Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Saman Ghoddos,Forward,19,,,28,,,1,5,9,2,,,,,,,,,,0,368,19.37,1,42,,,,5,0,13,2,1,0,1,0,0,0.05,0,0,9,2,22%,0,,,,,,,,
Morgan Gibbs-White,Midfielder,37,,,36,67%,,25,17,18,10,,179,197,222,44,61,70,,0,10,"1,282",34.65,16,182,30%,17,72,9,0,37,6,5,1,4,0,2,0.14,1,0,71,15,21%,5,,,,,,,,
Alexander Gibson-Hammond,Midfielder,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Bryan Gil,Forward,11,,,1,,,0,3,4,1,,,,,,,,,,0,144,13.09,0,11,,,,0,0,2,1,0,0,0,0,1,0.00,0,0,4,1,25%,1,,,,,,,,
Alex Gilbert,Forward,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alfie Gilchrist,Defender,11,0,6,4,0%,0,1,3,9,5,0,9,7,13,1,2,4,0,0,0,123,11.18,0,1,0%,0,1,1,0,4,0,1,0,1,0,0,,,,,,,,,,,,,,,
Ryan Giles,Defender,11,0,14,8,75%,0,0,4,20,7,0,21,17,11,4,3,0,0,0,0,128,11.64,0,49,24%,0,2,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mark Gillespie,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Billy Gilmour,Midfielder,30,,,26,62%,,11,11,14,6,,132,75,88,8,11,21,,0,1,"2,065",68.83,3,34,32%,9,64,8,1,22,0,0,0,0,0,0,0.00,0,0,25,5,20%,0,,,,,,,,
Ben Godfrey,Defender,15,4,13,30,67%,2,5,16,51,26,0,45,66,60,5,26,25,0,0,0,342,22.80,0,21,19%,0,10,2,0,8,2,0,0,0,0,0,,,,,,,,,,,,,,,
Martial Godo,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michael Golding,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Joe Gomez,Defender,32,5,19,47,66%,0,5,19,45,26,0,111,109,94,15,31,11,0,0,1,"1,149",35.91,2,39,18%,3,48,5,0,28,0,0,0,0,0,0,,,,,,,,,,,,,,,
Gonçalo Guedes,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Enso González,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,6,6.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Charlie Goode,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Owen Goodman,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
John-Kymani Gordon,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Daniel Gore,Midfielder,1,,,1,100%,,0,1,0,0,,0,2,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
True Grant,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Ryan Gravenberch,Midfielder,26,,,26,46%,,7,14,11,3,,74,74,85,23,10,14,,0,0,493,18.96,1,4,0%,4,6,0,0,20,0,1,0,1,0,1,0.04,0,0,23,8,35%,1,,,,,,,,
Demarai Gray,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Ivo Grbic,Goalkeeper,9,0,25,,,,,,,,,,,,,,,0,1,0,271,30.11,,,,,68,1,0,0,,0,,,,,,,,,,,,37,0,5,8,1,7,25,89
Jack Grealish,Midfielder,20,,,13,62%,,12,6,4,3,,42,75,48,18,4,4,,0,1,552,27.60,3,16,25%,3,12,7,0,6,2,3,0,2,1,0,0.15,0,0,22,5,23%,0,,,,,,,,
Ben Greenwood,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Seán Grehan,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Harvey Griffiths,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Pascal Groß,Midfielder,36,,,70,66%,,20,22,27,8,,144,127,121,16,14,17,,1,10,"2,927",81.31,11,238,37%,5,98,7,0,23,3,4,0,3,1,1,0.11,1,0,55,20,36%,9,,,,,,,,
Vicente Guaita,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Jóhann Gudmundsson,Midfielder,26,,,13,31%,,3,16,16,6,,56,52,61,5,14,22,,0,3,465,17.88,5,70,37%,4,29,2,0,9,2,1,0,0,1,1,0.04,0,0,15,6,40%,3,,,,,,,,
Marc Guéhi,Defender,25,4,32,28,68%,0,1,18,88,44,0,120,90,59,7,29,29,0,1,1,"1,299",51.96,1,3,0%,1,85,2,0,14,0,0,0,0,0,0,,,,,,,,,,,,,,,
Idrissa Gueye,Midfielder,25,,,73,60%,,11,28,16,6,,174,128,91,11,15,9,,0,0,880,35.20,1,11,9%,2,22,8,0,35,0,4,0,3,1,0,0.16,0,1,26,7,27%,0,,,,,,,,
Ilkay Gündogan,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Luca Gunter,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Gustavo Scarpa,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Malo Gusto,Defender,27,2,27,55,49%,0,2,17,37,16,0,126,110,89,17,8,19,0,0,6,"1,218",45.11,8,64,27%,2,30,7,1,22,6,0,0,0,0,0,,,,,,,,,,,,,,,
Josko Gvardiol,Defender,28,9,23,55,60%,0,6,27,26,13,0,150,134,89,26,31,24,0,1,1,"1,732",61.86,2,33,12%,3,41,3,0,20,2,4,1,3,0,0,,,,,,,,,,,,,,,
Erling Haaland,Forward,31,,,6,,,23,2,16,14,,,,,,,,,,5,381,12.29,6,5,,,,1,0,18,6,27,4,2,20,2,0.87,7,0,121,59,49%,34,,,,,,,,
Jordan Hackett,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Antwoine Hackford,Forward,2,,,0,,,0,0,0,0,,,,,,,,,,0,2,1.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Lewis Hall,Defender,18,0,12,28,64%,0,6,12,17,8,0,56,52,47,9,10,11,0,0,0,468,26.00,0,23,17%,0,27,2,0,5,0,1,0,0,1,0,,,,,,,,,,,,,,,
